"Identifier"	"English Label"	"French label"
"user_can_interact_with_mouse_1"	"Use the mouse wheel to zoom and "	"Utilisez la molette de la souris pour zoomer puis cliquez"
"user_can_interact_with_mouse_2"	"click to translate the chart"	"et faites glisser la souris pour déplacer le graphique."
"order_by"	"Order by"	"Trier par"
"label_asc"	"Label ↗"	"Label ↗"
"label_desc"	"Label ↘"	"Label ↘"
"value_desc"	"Value ↘"	"Valeur ↘"
"value_asc"	"Value ↗"	"Valeur ↗"
"asc"	"Ascending"	"Ascendant"
"desc"	"Descending"	"Descendant"
"formatSparqlTextField"	"SPARQL - Text"	"SPARQL - Texte"
"formatSparqlTextFieldDescription"	"By choosing this format the page to be filled allows to write SPARQL queries and to align our data with for example : Wikidata, IDRef, dataBNF, Mirabel..."	"En choisissant ce format la page à renseigner permet d’écrire des requêtes SPARQL et d’aligner nos données avec par exemple : Wikidata, IDRef, dataBNF, Mirabel…"
"size1"	"Very big"	"Très grand"
"size2"	"Big"	"Grand"
"size3"	"Bold"	"Gras"
"size4"	"Normal"	"Normal"
"list_format_select_size"	"Size"	"Taille"
"formatIdentifierBadge"	"Text - Identifier badge"	"Texte - Badge pour identifiant"
"formatIdentifierBadgeDescription"	"This format allows to display a perennial identifier (either a DOI or a PMID), and to add a link to the resource."	"Ce format permet d’afficher un identifiant pérenne (soit un DOI, soit un PMID), et d’y ajouter un lien vers la ressource."
"list_format_select_identifier"	"Choose the resolver"	"Choisir le résolveur"
"formatSentence"	"Text - Sentence"	"Texte - Phrase"
"formatSentenceDescription"	"This format allows you to put a sentence in the field."	"Ce format permet de mettre une phrase dans le champ."
"prefix"	"prefix"	"prefixe"
"suffix"	"suffix"	"suffixe"
"automatic"	"Automatic"	"Automatique"
"loader_name"	"Choose a loader"	"Choisir un loader"
"select_file"	"Select which file you want to load"	"Choix de fichier à charger"
"select_loader"	"Select which loader you want to apply"	"Choix du loader à appliquer"
"bad_value_format"	"The field '%{label}' has a format which doesn't support arrays, please try the format 'Content List' instead."	"Le champ '%{label}' possède un format qui n'est pas compatible pas une liste de valeurs, essayez plutôt le format 'Liste de valeurs'."
"bad_list_format"	"The field '%{label}' has a format which only support an array of values, please try an another format for this field."	"Le champ '%{label}' possède un format qui n'est compatible qu'avec une liste de valeurs, essayez plutôt un autre format pour ce champ."
"field_width"	"width"	"largeur"
"filter_value"	"filter %{field}"	"%{field} filtre"
"exclude"	"exclude"	"exclure"
"count"	"count"	"compter"
"no_chart_data"	"no data to visualize"	"aucune donnée à visualiser"
"chart_error"	"Error while trying to retrieve chart data"	"Une erreur est survenue en essayant de récupérer les données du graphique"
"excluding"	"excluding"	"exclus(e)"
"axis_round_value"	"force rounded-up value in axis"	"arrondir les valeurs sur l'axe"
"scale"	"scale"	"échelle"
"linear"	"linear"	"linéaire"
"log"	"logarithmic"	"logarithmique"
"bar_size"	"bars' width"	"largeur des barres"
"home"	"Home page"	"Page d'accueil"
"resource_pages"	"Resources"	"Ressources"
"graph_pages"	"Graphs"	"Graphiques"
"color_scheme"	"Color scheme"	"Jeu de couleurs"
"hover_color_scheme"	"hover colour scheme"	"jeu de couleurs au survol"
"default_color"	"default colour"	"couleur par défaut"
"formatCartography"	"Graph - Cartography"	"Graphique - Cartographie"
"formatCartographyDescription"	"Cartography"	"Cartographie"
"formatEmphasedNumber"	"Text - Emphased Number"	"Texte - Chiffre en gras"
"formatEmphasedNumberDescription"	"This formatting changes the text to bold"	"Ce formatage modifie le texte en gras"
"formatResourcesGrid"	"Other - Resources Grid"	"Autre - Grille de ressources"
"formatResourcesGridDescription"	"The resource grid displays a list of resources on the home page with links to these resources. The characteristics displayed for each resource are: the Title and the Description, i.e. the field that has been marked DESCRIPTION in the Syndication box of the display format configuration."	"La grille de ressource permet d’afficher une liste de ressources sur la page d’accueil avec des liens vers ces ressources. Les caractéristiques affichées de chaque ressource sont : le Titre et la Description, c’est à dire le champ qui a reçu le marquage DESCRIPTION dans la case Syndication de la configuration du format d’affichage."
"formatTrelloTimeline"	"Other - Trello Timeline"	"Autre - Trello Timeline"
"formatTrelloTimelineDescription"	"The Trello Timeline format allows, from a Trello board, to display a timeline"	"Le format Trello Timeline permet, à partir d’un tableau Trello, d’afficher une timeline"
"direction"	"direction"	"direction"
"horizontal"	"horizontal"	"horizontal"
"vertical"	"vertical"	"vertical"
"max_value"	"Maximum value to display"	"Valeur maximum à afficher"
"min_value"	"Minimum value to display"	"Valeur minimum à afficher"
"height_px"	"Pixel height"	"Hauteur en pixel"
"flip_axis"	"flip axes"	"inverser les axes"
"list_of_language"	"Choose the language"	"Choix du langage"
"value_margin"	"margin for value axis (px)"	"marge pour l'axe des valeurs (px)"
"category_margin"	"margin for category axis (px)"	"marge pour l'axe des catégories (px)"
"diagonal_value_axis"	"display value axis in diagonal"	"afficher l'axe des valeurs en diagonale"
"diagonal_category_axis"	"display category axis in diagonal"	"afficher l'axe des catégories en diagonale"
"all"	"All"	"Tous"
"document"	"Document"	"Document"
"graphic"	"Graphs"	"Graphiques"
"node_color"	"Node Color"	"Couleur des nœuds"
"text_color"	"Text Color"	"Couleur du texte"
"formatNetwork"	"Graph - Network"	"Graphique - Réseaux"
"formatNetworkDescription"	"Allows to visualize networks as for example the countries which publish between them (in affiliation)..."	"Permet de visualiser des réseaux comme par exemple les pays qui publient entre eux (dans affiliation)…"
"formatParallelCoordinatesChart"	"Graph - Parallel Coordinates"	"Graphique - Coordonnées parallèles"
"formatParallelCoordinatesChartDescription"	"Graph format on several monovalent or multivalent, textual or numerical fields and as for the asterplot it is a graph that is displayed in a resource and not on a data set."	"Format de graphique  sur plusieurs champs monovalués ou multivalués, textuels ou numériques et comme pour l’asterplot c’est un graphique qui s’affiche dans une ressource et non sur un jeu de données."
"formatAsterPlotChart"	"Graph - Aster Plot"	"Graphique - Aster Plot"
"formatAsterPlotChartDescription"	"This format allows you to graph the textual multivalued field keywords, in the resource, not at the dataset level, to visualize the resources that have the most similarity between them."	"Ce format permet de faire un graphique sur le champ multivalué textuel  mots-clés, dans la ressource, et non au niveau du jeu de données, pour visualiser les ressources qui ont le plus de similarité  entre elles ."
"formatBubbleChart"	"Graph - Bubble"	"Graphique - Graphe à bulles"
"formatBubbleChartDescription"	"A Bubble chart is a type of graph with three dimensions of data (the X-axis data, the Y-axis data and the data represented by the size of the bubble)."	"Un Bubble chart est un type de graphique à trois dimensions de données (les données de l'axe X, les données de l'axe Y et les données représentées par la taille de la bulle)."
"formatStreamgraph"	"Graph - Streamgraph"	"Graphique - Graphique de flux"
"formatStreamgraphDescription"	"Works on several monovalent or multivalent, textual or numerical fields."	"Travaille sur plusieurs champs monovalués ou multivalués, textuels ou numériques."
"formatHierarchy"	"Graph - Hierarchy"	"Graphique - Graphique hiérarchique"
"formatHierarchyDescription"	"This format allows you to create graphs in the form of trees representing hierarchical data (classification, taxonomies ...) and to display the number of documents concerned."	"Ce format permet de créer des graphiques en forme d’arbres représentant des données hiérarchisées (classification, taxonomies …) et d’afficher le nombre de documents concernés."
"diameter"	"Bubbles Diameter (number in px)"	"Diamètre des bulles (nombre, en px)"
"min_radius"	"Min radius"	"Rayon min"
"max_radius"	"Max radius"	"Rayon max"
"view_details"	"View Details"	"Voir les détails"
"resources_found"	"Found %{current} on %{total}"	"%{current} ressources trouvées sur un total de %{total}"
"extended-nquads"	"N-Quads Extended"	"N-Quads étendus"
"extended-nquads-compressed"	"N-Quads Extended (Compressed)"	"N-Quads étendus (Compressé)"
"csv"	"CSV - auto-detected separator"	"CSV - détection automatique du séparateur"
"csv-comment"	"Fichier au format CSV qui contient une liste de ressources et se caractérise par une représentation de données tabulaires sous forme de texte, les valeurs de chaque cellule étant séparées par des virgules ou des points-virgules"	"Fichier au format CSV qui contient une liste de ressources et se caractérise par une représentation de données tabulaires sous forme de texte, les valeurs de chaque cellule étant séparées par des virgules ou des points-virgules"
"csv-semicolon"	"CSV - with semicolon"	"CSV - avec des points virgules"
"csv-semicolon-comment"	"Fichier au format CSV qui contient une liste de ressources et se caractérise par une représentation de données tabulaires sous forme de texte, les valeurs de chaque cellule étant séparées par des points-virgules."	"Fichier au format CSV qui contient une liste de ressources et se caractérise par une représentation de données tabulaires sous forme de texte, les valeurs de chaque cellule étant séparées par des points-virgules."
"csv-comma"	"CSV - with comma"	"CSV - avec des virgules"
"csv-comma-comment"	"Fichier au format CSV qui contient une liste de ressources et se caractérise par une représentation de données tabulaires sous forme de texte, les valeurs de chaque cellule étant séparées par des virgules."	"Fichier au format CSV qui contient une liste de ressources et se caractérise par une représentation de données tabulaires sous forme de texte, les valeurs de chaque cellule étant séparées par des virgules."
"csv-alternative"	"TXT - with comma separator"	"TXT - séparé par des virgules"
"csv-alternative-comment"	""	""
"tsv"	"TSV - with tabulation"	"TSV - avec des tabulations"
"tsv-comment"	"Fichier au format TSV qui contient une liste de ressources et se caractérise par une représentation de données tabulaires sous forme de texte, les valeurs de chaque cellule étant séparées par des tabulations et encadrées de double quote."	"Fichier au format TSV qui contient une liste de ressources et se caractérise par une représentation de données tabulaires sous forme de texte, les valeurs de chaque cellule étant séparées par des tabulations et encadrées de double quote."
"tsv-double-quotes"	"TSV - with tabulation annd double quotes"	"TSV - avec des tabulations et des guillemets"
"tsv-double-quotes-comment"	"Fichier au format TSV qui contient une liste de ressources et se caractérise par une représentation de données tabulaires sous forme de texte, les valeurs de chaque cellule étant séparées par des tabulations et encadrées de double quote"	"Fichier au format TSV qui contient une liste de ressources et se caractérise par une représentation de données tabulaires sous forme de texte, les valeurs de chaque cellule étant séparées par des tabulations et encadrées de double quote"
"tsv-wos"	"TSV - from the Web Of Science"	"TSV - du Web Of Science"
"tsv-wos-comment"	"Fichier en provenance du Web of Science généré par l’export d’un résultat d’une recherche. Si le fichier est au format TSV avec des champs regroupés par ligne et séparés par le caractère tabulation, le nom des colonnes a son importance. La présence de certains champs (avec nom prédéfini) déclenche des enrichissements automatiques (découpage des adresses, correction des affiliations avec Netscity, etc.)"	"Fichier en provenance du Web of Science généré par l’export d’un résultat d’une recherche. Si le fichier est au format TSV avec des champs regroupés par ligne et séparés par le caractère tabulation, le nom des colonnes a son importance. La présence de certains champs (avec nom prédéfini) déclenche des enrichissements automatiques (découpage des adresses, correction des affiliations avec Netscity, etc.)"
"rdf"	"RDF - N-Quads triples"	"RDF - triplets RDF en N-Quads"
"rdf-comment"	"Fichier ou URL au format XML respectant la norme RDF. Chaque ressource est construite à partir de la balise XML immédiatement en dessous de la balise racine du type <rdf:RDF>. Cette arborescence est paramétrable."	"Fichier ou URL au format XML respectant la norme RDF. Chaque ressource est construite à partir de la balise XML immédiatement en dessous de la balise racine du type <rdf:RDF>. Cette arborescence est paramétrable."
"skos"	"XML - SKOS thesaurus"	"XML - vocabulaire SKOS"
"skos-comment"	"Fichier ou URL au format XML respectant la norme SKOS. Cette norme est principalement utilisée pour représenter des thésaurus documentaires, classifications ou d'autres types de vocabulaires contrôlés ou de langages documentaires. Chaque ressource est construite à partir d’un concept SKOS. Celui-ci doit être  décrit dans une balise XML immédiatement en dessous de la balise racine du type <rdf:RDF>. Cette arborescence est paramétrable."	"Fichier ou URL au format XML respectant la norme SKOS. Cette norme est principalement utilisée pour représenter des thésaurus documentaires, classifications ou d'autres types de vocabulaires contrôlés ou de langages documentaires. Chaque ressource est construite à partir d’un concept SKOS. Celui-ci doit être  décrit dans une balise XML immédiatement en dessous de la balise racine du type <rdf:RDF>. Cette arborescence est paramétrable."
"json-import"	"JSON - Lodex import"	"JSON - import Lodex"
"json-import-comment"	"File or URL in JSON corresponding to the format generated by Lodex when exporting the dataset from the backoffice"	"Fichier ou URL au format JSON correspondant au format généré par Lodex lors d'un export du dataset depuis le backoffice"
"json-lines"	"JSON - JSON Lines text file format"	"JSON - format text JSON Lines"
"json-lines-comment"	"JSON Lines is a format for storing structured data where each line is a Valid JSON Value"	"JSON Lines est un format pour stocker des données structurées où chaque ligne est une valeur JSON valide"
"json"	"JSON - with an array"	"JSON - avec un tableau"
"json-comment"	"Fichier JSON contenant une liste d’objets (tableau d’objets). Chaque objet est interprété comme une ressource.<br/>Exemple : [{…}, …, {…}]"	"Fichier JSON contenant une liste d’objets (tableau d’objets). Chaque objet est interprété comme une ressource.<br/>Exemple : [{…}, …, {…}]"
"json-wordpress"	"JSON - from Wordpress API"	"JSON - compatible API Wordpress"
"json-wordpress-comment"	"File or URL from Wordpress software JSON API"	"Fichier ou URL provenant de l'API JSON du logiciel Wordpress."
"json-lodex"	"JSON - from Lodex API"	"JSON - compatible API Lodex"
"json-lodex-comment"	"Fichier JSON avec un objet contenant un champ data. Ce champ doit impérativement être un tableau d'objets. Chaque objet est interprété comme une ressource. Les champs autres que data sont ignorés.<br/>Exemple : {data:[{…}, …, {…}]}<br/>Ce type de format est généré par le programme HarvestCorpus et par certains exporters Lodex. Dans ce dernier cas, il est possible d’exporter les données d’une instance Lodex pour les importer dans une autre instance."	"Fichier JSON avec un objet contenant un champ data. Ce champ doit impérativement être un tableau d'objets. Chaque objet est interprété comme une ressource. Les champs autres que data sont ignorés.<br/>Exemple : {data:[{…}, …, {…}]}<br/>Ce type de format est généré par le programme HarvestCorpus et par certains exporters Lodex. Dans ce dernier cas, il est possible d’exporter les données d’une instance Lodex pour les importer dans une autre instance."
"json-istex"	"JSON - from ISTEX API"	"JSON - compatible API ISTEX"
"json-istex-comment"	"Fichier JSON avec un objet contenant un champ hits. Ce champ doit impérativement être un tableau d'objets. Chaque objet sera interprété comme une ressource. Les champs autres que data sont ignorés.<br/>Exemple : {hits:[{…}, …, {…}]}<br/>Ce type de format correspond exactement à celui généré par l’API Istex."	"Fichier JSON avec un objet contenant un champ hits. Ce champ doit impérativement être un tableau d'objets. Chaque objet sera interprété comme une ressource. Les champs autres que data sont ignorés.<br/>Exemple : {hits:[{…}, …, {…}]}<br/>Ce type de format correspond exactement à celui généré par l’API Istex."
"json-datacite"	"JSON - from DataCite API"	"JSON - compatible API DataCite"
"json-datacite-comment"	"JSON file with an object containing a data field. This field must imperatively be an array of objects. Each object will be interpreted as a resource. Fields other than data are ignored. <br/> Example: {data: [{…},…, {…}]} <br/> This type of format corresponds exactly to the one generated by the Datacite API. <Br /> <strong> Several enrichments </strong> are added to the original data."	"Fichier JSON avec un objet contenant un champ data. Ce champ doit impérativement être un tableau d'objets. Chaque objet sera interprété comme une ressource. Les champs autres que data sont ignorés.<br/>Exemple : {data:[{…}, …, {…}]}<br/>Ce type de format correspond exactement à celui généré par l’API Datacite.<br/><strong>Plusieurs enrichissements</strong> sont ajoutés aux données d'origine."
"json-inspirehep"	"JSON - from Inspire_HEP API"	"JSON - compatible API Inspire_HEP"
"json-inspirehep-comment"	"JSON file, from Inspire_HEP API, including a list of objects (array of objects). Each object is interpreted as a resource. <br/>Example : {hits.hits:[{…}, …, {…}]}<br/>This loader selects and simplifies the objects extracted from the Inspire_HEP database. It keeps the main fields for each record."	"Fichier JSON, généré par l'API Inspire_HEP, contenant une liste d’objets (tableau d’objets). Chaque objet est interprété comme une ressource.<br/>Exemple : {hits.hits:[{…}, …, {…}]}<br/> Ce loader sélectionne et simplifie les objets extraits de la base Inspire_HEP. Il conserve les champs principaux pour chaque notice."
"json-optimized"	"JSON - best for Lodex"	"JSON - adapté à Lodex"
"json-optimized-comment"	"JSON file with an array of objects. Objects are automatically simplified to create a maximum of columns in Lodex. Each object will be interpreted as a resource.<br/>Example: [{…}, …, {…}]"	"Fichier JSON avec un tableau d'objets. Les objets sont automatiquement simplifiés pour créer un maximun de colonnes dans Lodex. Chaque objet est interprété comme une ressource.<br/>Exemple : [{…}, …, {…}]"
"json-conditor"	"JSON - from Conditor API"	"JSON - compatible API Conditor"
"json-conditor-comment"	"Fichier JSON contenant une liste d’objets (tableau d’objets). Chaque objet est interprété comme une ressource.<br/>Exemple : [{…}, …, {…}]<br/>Ce loader sélectionne et simplifie les objets extraits de la base conditor. Il conserve uniquement 119 champs pour chaque notice Conditor."	"Fichier JSON contenant une liste d’objets (tableau d’objets). Chaque objet est interprété comme une ressource.<br/>Exemple : [{…}, …, {…}]<br/>Ce loader sélectionne et simplifie les objets extraits de la base conditor. Il conserve uniquement 119 champs pour chaque notice Conditor."
"json-protege"	"JSON - from OntoTDM ontology"	"JSON - compatible ontologie OntoTDM"
"json-protege-comment"	"<i>expérimental</i> - Fichier JSON au format JSON-LD. Ce type de format décrit  un graphe de ressources. Le loader va transformer le graphe en une liste de ressources contenant des sous ressources. Par défaut le loader garde uniqument comme ressource principale, les nœuds RDF correspondant à obo:IAO_0000594. Cette valeur est paramétrable.<br/>En JSON-LD il est courant de désigner un champ par une URI (ce qui est incompatible avec une base MongoDB). Le loader cherche à remplacer toutes les URI pas des URI avec préfixe. La liste est paramétrable. Si il oublie une URI, l’import échouera."	"<i>expérimental</i> - Fichier JSON au format JSON-LD. Ce type de format décrit  un graphe de ressources. Le loader va transformer le graphe en une liste de ressources contenant des sous ressources. Par défaut le loader garde uniqument comme ressource principale, les nœuds RDF correspondant à obo:IAO_0000594. Cette valeur est paramétrable.<br/>En JSON-LD il est courant de désigner un champ par une URI (ce qui est incompatible avec une base MongoDB). Le loader cherche à remplacer toutes les URI pas des URI avec préfixe. La liste est paramétrable. Si il oublie une URI, l’import échouera."
"doi-list"	"TXT - from list of DOI identifiers"	"TXT - liste d'identifiants DOI"
"doi-list-comment"	"TXT file where each line contains a single DOI identifier. For each DOI, an external database will be consulted to retrieve the metadata associated with each identifier. By default, the database used is Unpaywall, but this choice can be easily modified by customizing the loader and its <tt>provider</tt> parameter. Currently the choices are: Unpaywall, HAL, OpenAlex, CrossRef"	"Fichier TXT ou chaque ligne contient un seul identifiant DOI. Pour chaque DOI, une base externe sera consultée pour récupérer les métadonnées associées à chaque identifiant. Par défaut, la base utilisée est Unpaywall, mais ce choix est facilement modifiable en personnalisant le loader et son paramètre <tt>provider</tt>. Actuellement, les choix sont : Unpaywall, HAL, OpenAlex, CrossRef"
"xml"	"XML - auto-detected path"	"XML - détection automatique du chemin"
"xml-comment"	"Fichier ou URL au format XML, ce format cherche à détecter automatiquement la norme utilisée. Chaque ressource est construite à partir d’une balise XML connue dans une liste prédéfinie. Liste paramétrable."	"Fichier ou URL au format XML, ce format cherche à détecter automatiquement la norme utilisée. Chaque ressource est construite à partir d’une balise XML connue dans une liste prédéfinie. Liste paramétrable."
"rss"	"XML - RSS feed"	"XML - flux RSS"
"rss-comment"	"Fichier ou URL au format XML respectant la norme de syndication RSS. Cette norme est principalement utilisée par les blogs pour rendre accessible leurs articles dans des sites tiers (syndication). Chaque ressource est construite à partir des métadonnées  de chaque article contenu dans le flux RSS. Les métadonnées du site en lui-même sont ignorées."	"Fichier ou URL au format XML respectant la norme de syndication RSS. Cette norme est principalement utilisée par les blogs pour rendre accessible leurs articles dans des sites tiers (syndication). Chaque ressource est construite à partir des métadonnées  de chaque article contenu dans le flux RSS. Les métadonnées du site en lui-même sont ignorées."
"atom"	"XML - ATOM feed"	"XML - flux ATOM"
"atom-comment"	"Fichier ou URL au format XML respectant la norme de syndication ATOM. Cette norme est principalement utilisée par les blogs pour rendre accessible leurs articles dans des sites tiers (syndication). Chaque ressource est construite à partir des métadonnées  de chaque article contenu dans le flux ATOM. Les métadonnées du site en lui-même sont ignorées."	"Fichier ou URL au format XML respectant la norme de syndication ATOM. Cette norme est principalement utilisée par les blogs pour rendre accessible leurs articles dans des sites tiers (syndication). Chaque ressource est construite à partir des métadonnées  de chaque article contenu dans le flux ATOM. Les métadonnées du site en lui-même sont ignorées."
"mods"	"XML - MODS metadata"	"XML - métadonnées MODS"
"mods-comment"	"Fichier ou URL au format XML respectant la norme MODS. Cette norme est principalement utilisée pour représenter des données bibliographiques. Chaque ressource est construite à partir d’une balise <mods>. Celui-ci doit être immédiatement en dessous de la balise racine du type <modsCollection>. Cette arborescence est paramétrable."	"Fichier ou URL au format XML respectant la norme MODS. Cette norme est principalement utilisée pour représenter des données bibliographiques. Chaque ressource est construite à partir d’une balise <mods>. Celui-ci doit être immédiatement en dessous de la balise racine du type <modsCollection>. Cette arborescence est paramétrable."
"tei"	"XML - TEI document"	"XML - document TEI"
"tei-comment"	"Fichier ou URL au format XML respectant la norme TEI. Cette norme est principalement utilisée pour représenter des textes. Chaque ressource est construite à partir d’une balise <tei>. Celui-ci doit être immédiatement en dessous de la balise racine du type <teiCorpus>. Cette arborescence est paramétrable."	"Fichier ou URL au format XML respectant la norme TEI. Cette norme est principalement utilisée pour représenter des textes. Chaque ressource est construite à partir d’une balise <tei>. Celui-ci doit être immédiatement en dessous de la balise racine du type <teiCorpus>. Cette arborescence est paramétrable."
"tei-persee"	"XML - Persée/TEI document"	"XML - document Persée/TEI"
"tei-persee-comment"	"File or URL in XML format respecting the TEI standard. This format is specifically adapted to Persée documents to simplify their use in Lodex."	"Fichier ou URL au format XML respectant la norme TEI. Ce format est spécifiquement adapté aux documents Persée pour simplifier leur usage dans Lodex."
"corpus"	"TXT - corpus description"	"TXT - description de corpus"
"corpus-comment"	"expérimental - Fichier ou URL au format .corpus créé(e) pour les besoins du projet ISTEX. Théoriquement, ce loader pourrait créer un corpus de documents ISTEX à partir des identifiants qu’il contient."	"expérimental - Fichier ou URL au format .corpus créé(e) pour les besoins du projet ISTEX. Théoriquement, ce loader pourrait créer un corpus de documents ISTEX à partir des identifiants qu’il contient."
"zip-raw"	"ZIP - file raw from dl.istex.fr"	"ZIP - résultat brut de dl.istex.fr"
"zip-raw-comment"	""	""
"zip"	"ZIP - file from dl.istex.fr"	"ZIP - résultat de dl.istex.fr"
"zip-comment"	"Répertoire compressé contenant un corpus téléchargé avec ISTEX-DL en format zip.<br/>Ce répertoire contient, pour chaque document du corpus, un répertoire de fichiers avec a minima le fichier JSON issu de l’API ISTEX contenant les métadonnées du document."	"Répertoire compressé contenant un corpus téléchargé avec ISTEX-DL en format zip.<br/>Ce répertoire contient, pour chaque document du corpus, un répertoire de fichiers avec a minima le fichier JSON issu de l’API ISTEX contenant les métadonnées du document."
"automatic-loader"	"AUTO - with filename extension"	"AUTO - avec l'extension du nom de fichier"
"custom-loader"	"CUSTOM - modified loader"	"CUSTOM - Loader customisé"
"add-custom-loader"	"Customize loader"	"Customiser le loader"
"automatic-loader-comment"	"Defined automatically depending on the file extension"	"Déterminé automatiquement selon l'extension du fichier"
"allFormat"	"All"	"Tout"
"csvFormat"	"CSV"	"CSV"
"tsvFormat"	"TSV"	"TSV"
"xmlFormat"	"XML"	"XML"
"jsonFormat"	"JSON"	"JSON"
"otherFormat"	"Other"	"Autre"
"use_url"	"From an URL"	"Depuis une URL"
"not_use_url"	"Add from uploading a file"	"Ajouter en téléchargeant un fichier"
"bad_format_error"	"Error: Unable to display the value"	"Erreur : Impossible d'afficher la valeur"
"bad_format_details"	"The format of this field does not allow the current value to be displayed. Please edit the value or change the format."	"Le format de ce champ ne permet pas d'afficher la valeur courante. Veuillez éditer la valeur ou changer de format. "
"publishing"	"Publishing..."	"Publication..."
"PUBLISH_FACET"	"Publishing facet"	"Publication des facettes"
"PUBLISH_DOCUMENT"	"Publishing documents"	"Publication des documents"
"UNPUBLISH_DOCUMENT"	"Unpublishing documents"	"Dépublication des documents"
"STARTING"	"Starting"	"Démarrage"
"INDEXATION"	"Indexing..."	"Indexation..."
"UPLOADING_DATASET"	"Uploading the dataset"	"Chargement du jeu de données"
"ENRICHING"	"Enriching..."	"Enrichissement..."
"PRECOMPUTING"	"Precomputing..."	"Précalcul..."
"SAVING_DATASET"	"Saving the dataset"	"Sauvegarde du jeu de données"
"INITIALIZING_URI"	"Initializing all URI"	"Initialisation des URI"
"CREATE_INDEX"	"Search indexes creation"	"Création des index de recherche"
"PENDING"	"Pending ..."	"En attente ..."
"volume"	"Volume"	"Volume"
"issue"	"Issue"	"Numéro"
"istex_error"	"An error occured while trying to fetch data from ISTEX"	"Une erreur est survenue en tentant de contacter ISTEX"
"istex_no_result"	"no result found"	"Aucun résultat n'a été trouvé"
"no_overview_field_error"	"Warning: No field has been tagged for a resource syndication. Please select at least one from the admin dashboard."	"Attention : Aucun champ n'a été tagué pour une syndication. Veuillez en sélectionner au moins un depuis le panneau d'administration."
"search_load_more"	"View more results"	"Voir plus de résultats"
"search_facets_open"	"Filtered search"	"Recherche filtrée"
"search_facets_close"	"Close filtered search"	"Fermer la recherche filtrée"
"searched_field"	"Searched field"	"Champs recherché"
"host.issn"	"ISSN"	"ISSN"
"host.eissn"	"E-ISSN"	"E-ISSN"
"host.isbn"	"ISBN"	"ISBN"
"host.eisbn"	"E-ISBN"	"E-ISBN"
"host.title"	"Title"	"Titre"
"other_volume"	"Other volumes"	"Autres volumes"
"other_issue"	"Other issues"	"Autres numéros"
"year_sort_dir"	"Year sort"	"Tri des années"
"YEAR_ASC"	"From oldest to youngest"	"Du plus ancien au plus récent"
"YEAR_DESC"	"From youngest to oldest"	"Du plus récent au plus ancien"
"year_threshold"	"Gather years by decades starting from (years count)"	"Regrouper les années par décennies à partir de (nombre d'années)"
"empty"	"Empty"	"Vide"
"progress_error"	"The operation was aborted due to an error"	"L'opération a été annulée à cause d'une erreur"
"custom_istex_query"	"Custom ISTEX Query"	"Requête ISTEX personnalisée"
"embed_istex_summary"	"Embed this summary into your website"	"Intégrez ce sommaire à votre site web"
"embed_step_head"	"Add this code in the head section of your page (needed only once)"	"Ajouter ce code dans la section 'head' de votre page (une fois seulement)"
"embed_step_div"	"Add this code where you want the summary to appear on your page"	"Ajouter ce code dans votre page à l'endroit où vous voulez que le sommaire s'affiche"
"document_sort_by"	"Sort document by (see ISTEX API doc)"	"Trier les documents par (voir doc API ISTEX)"
"bad_format_edit_list"	"Cannot edit this value, format expected an Array but got a single value"	"Edition impossible: le format nécessite une liste et non une seule valeur"
"bad_format_edit_value"	"Cannot edit this value, format expected a single value but got a list"	"Edition impossible: le format nécessite une seule valeur et non une liste"
"convert_to_list"	"Convert to list"	"Convertir en liste"
"convert_to_value"	"Convert to value"	"Convertir en valeur"
"allow_to_load_more"	"Allow to load more resources"	"Autoriser à charger plus de ressources"
"items_per_page"	"Resource number per page"	"Nombre de ressources par page"
"see_more_result"	"More results"	"Plus de résultats"
"no_result"	"No matching resource found"	"Aucune correspondance trouvée"
"no_result_details"	"Please change your search terms or facets"	"Veuillez changer vos filtres ou termes de recherche"
"max_char_number_in_labels"	"Maximum character number in labels"	"Nombre max de caractères dans les intitulés"
"error_rendering_chart"	"An error occured while rendering the chart, think to check your input data"	"Une erreur s'est produite pendant le tracé du graphique, pensez à vérifier vos données"
"graph_reinit"	"Click to initialize the graph"	"Cliquez sur ce bouton pour réinitialiser le graphique"
"minimum_scale_value"	"Minimum scale value"	"Valeur minimum pour l'échelle"
"label_offset"	"Label left offset (in px)"	"Décalage du label à gauche (en px)"
"max_char_number_in_legends"	"Maximum character number in legends"	"Nombre max de caractères dans les légendes"
"browse_results"	"Browse results"	"Parcourir les résultats"
"clear_all"	"Clear All"	"Tout supprimer"
"similar"	"similar"	"similaire"
"toggle_tooltip"	"Display tooltip"	"Afficher l'info-bulle"
"tooltip_category"	"Tooltip: Category title"	"Info-bulle : Titre des catégories"
"tooltip_value"	"Tooltip: Value title"	"Info-bulle : Titre des valeurs"
"toggle_labels"	"Display value"	"Afficher les valeurs"
"toggle_label_overlap"	"Resolving overlap of axis labels"	"Eviter le chevauchement des étiquettes"
"tooltip_third_1"	"Tooltip: source"	"Info-bulle : source"
"tooltip_third_2"	"Tooltip: target"	"Info-bulle : destination"
"tooltip_third_3"	"Tooltip: weight"	"Info-bulle : poids"
"vegalite_width"	"Responsive width (optional) [10~200]"	"Largeur responsive (optionelle) [10~200]"
"vegalite_height"	"Responsive height (optional) [10~800]"	"Hauteur responsive (optionelle) [10~800]"
